strategy,timeframe,ETHUSDT_stars,SOLUSDT_stars,SPY_stars,ETHUSDT_win_rate,SOLUSDT_win_rate,SPY_win_rate,avg_stars,bot_ready,trade_type
RSI-MA--RSI-MA-Crossover-Swing-Trading-Strategy-with-Trailing-Stop-System_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SWING-TRADE-SIGNALS_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SWING-TRADE-SIGNALS,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于RSI指标和200日SMA滤波器的间接强度指数策略Indirect-Strength-Index-Strategy-Based-on-RSI-Indicator-and-200-day-SMA-Filter,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Buying-Selling-Volume-Breakout-Strategy_1_1_1,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
Dynamic-Donchian-Channel-and-Simple-Moving-Average-Combination-Quantitative-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于RSI指标信号的量化交易策略Quantitative-Trading-Strategy-Based-on-RSI-Indicator-Signals,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
boll傻瓜版,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
bollmaboll_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
增强型布林带相对强弱指标交易策略-Enhanced-Bollinger-Bands-RSI-Trading-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MACD-MACD-of-RSI-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MA-交叉摆动交易策略与追踪止损系统-RSI-MA-Crossover-Swing-Trading-Strategy-with-Trailing-Stop-System,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MA-RSI-and-MA-Crossover-Trend-Tracking-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Cryptocurrency-RSI-Curve-Tracking-Strategy_1_2,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Alpha-Beast--Alpha-Beast-Advanced-Quantitative-Trading-Strategy-Multi-Indicator-Synergistic-Dynamic-Risk-Control-System_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaAlpha-Trend-Strategy-with-Trailing-Stop-Loss_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend-Adaptive-ATR-Channel-Breakout-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaAlpha-Trend-Strategy-with-Trailing-Stop-Loss_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SUPERTREND-SUPERTREND-Trend-following-Long-Position-with-Stop-loss-and-Take-profit-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Dual-Technical-Indicator-Oversold-Overbought-Confirmation-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDRSI与EMA策略MACD-RSI-and-EMA-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
boll_1_2_1,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
ADR均线交叉策略-融合多维度技术指标和严格止盈止损的交易方法EMA-Cross-ADR-Strategy-A-Multidimensional-Technical-Indicator-Based-Trading-Method-with-Strict-Risk-Management,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
ADR-EMA-Cross-ADR-Strategy-A-Multidimensional-Technical-Indicator-Based-Trading-Method-with-Strict-Risk-Management_2_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend-Adaptive-ATR-Channel-Breakout-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SSL-SSL-Momentum-Combo-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
均线加权标准差交易策略Weighted-Standard-Deviation-Trading-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SSL动量指标组合交易策略SSL-Momentum-Combo-Trading-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SSLSSL-Momentum-Combo-Trading-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MACD-RSI-MACD-Crossover-Double-MA-Tracking-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACD与RSI结合的长线交易策略-MACD-and-RSI-Combined-Long-term-Trading-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACD与RSI相结合的多重过滤日内交易策略-MACD-and-RSI-Multi-Filter-Intraday-Trading-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Average-Cost-Dollar-Cost-Averaging-Compound-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
bollmaboll,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于RSI指标和移动平均线的量化交易策略Quantitative-Trading-Strategy-Based-on-RSI-Indicator-and-Moving-Average,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于RSI指标和包容涨跌形态的量化交易策略Quantitative-Trading-Strategy-Based-on-RSI-Indicator-and-Engulfing-Pattern,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于RSI指标和ZigZag指标趋势追踪策略Trend-Tracking-Strategy-Based-on-RSI-and-ZigZag-Indicators,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MACD-RSI-and-MACD-Cross-Period-Dynamic-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MACD-RSI-and-MACD-Combined-Long-Short-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-Ichimoku-Cloud-and-RSI-Combination-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MACD-RSI-MACD-Multi-Signal-Trading-System-with-Dynamic-Stop-Management_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Crypto-Bull-Run-Tracking-Strategy_1_1_1,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
RSI-MACD-RSI-MACD-Multi-Signal-Trading-System-with-Dynamic-Stop-Management_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend-AlphaTrend-and-Bollinger-Bands-Combined-Mean-Reversion-Trend-Following-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend-AlphaTrend-Dual-Tracking-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend-Adaptive-ATR-Channel-Breakout-Strategy_1_2,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
boll_1_1_1_1,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
MACDRSI动量突破策略Momentum-Breakout-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-EMA-Crossover-with-RSI-Trend-Confirmation-Quantitative-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
crypto-futures-hourly-scalping-with-ma-rsi-ogcheckers,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
crypto-futures-hourly-scalping-with-ma-rsi-ogcheckers_1_2,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
双均线波动率自适应交易策略与多级利润优化系统-Dual-EMA-Volatility-Adaptive-Trading-Strategy-with-Multi-Tiered-Profit-Optimization-System,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Crossover-Moving-Average-Trend-Capture-Strategy-with-Risk-Management-System_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend与KAMA结合的自适应趋势跟踪与风险管理策略Adaptive-Trend-Following-Strategy-Combining-AlphaTrend-and-KAMA-with-Risk-Management,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SSL-Hybrid-STOCH-RSI,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend-Strategy_1_2,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrendAlphaTrend-and-Bollinger-Bands-Combined-Mean-Reversion-Trend-Following-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrendAlphaTrend-and-Bollinger-Bands-Combined-Mean-Reversion-Trend-Following-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend-KAMA-Adaptive-Trend-Following-Strategy-Combining-AlphaTrend-and-KAMA-with-Risk-Management_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
均线动态趋势跟踪与RSI-ADX复合指标交易策略-Dynamic-Moving-Average-Trend-Following-Strategy-with-RSI-ADX-Composite-Indicators,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
双均线止盈止损趋势交易策略-Dual-Moving-Average-Trend-Trading-Strategy-with-Stop-Loss-and-Take-Profit,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
ADR-EMA-Cross-ADR-Strategy-A-Multidimensional-Technical-Indicator-Based-Trading-Method-with-Strict-Risk-Management_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
A-Price-Breakthrough-Bollinger-Band-A-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
bybit-swap_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
增强型趋势反转多指标交叉智能策略-Enhanced-Multi-Indicator-Trend-Reversal-Intelligence-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
crypto-futures-hourly-scalping-with-ma-rsi-ogcheckers_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDRSI-EMA-MACD-RSI-and-EMA-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Moving-Average-Retracement-Martin-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于多项式插值的RSI动量指标策略Polynomial-Interpolation-Based-RSI-Momentum-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于多重级别EMA与RSI动态势能强度的比特币跨周期趋势交易策略-Multi-Timeframe-Bitcoin-Trading-Strategy-Based-on-EMA-and-RSI-Dynamic-Momentum-Strength,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MACD多重信号交易系统结合动态止盈止损策略-RSI-MACD-Multi-Signal-Trading-System-with-Dynamic-Stop-Management,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MACD交叉双均线跟踪策略RSI-MACD-Crossover-Double-MA-Tracking-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MACDRSI-MACD-Crossover-Double-MA-Tracking-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SSL-Hybrid-STOCH-RSI_1_2,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SSL-Hybrid-STOCH-RSI_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrendAlphaTrend-Dual-Tracking-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于RSI指标和MA均线的趋势跟踪策略RSI-MA-Trend-Following-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDRSIEMAMACD-RSI-and-EMA-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
72s-Adaptive-Hull-Moving-Average_1_2,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
72s-Adaptive-Hull-Moving-Average_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
双均线交叉短线策略Dual-Moving-Average-Crossover-Scalping-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
双均线交叉止盈止损自适应策略-Dual-Moving-Average-Crossover-Strategy-with-Adaptive-Stop-Loss-and-Take-Profit,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
双均线交叉止盈止损策略-Dual-Moving-Average-Crossover-Stop-Loss-and-Take-Profit-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MTF-ObOs_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MTF-ObOs,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于威廉VIX指标和DEMA指标的跨时间段交易策略Volatility-and-Trend-Tracking-Strategy-Across-Timeframes-Based-on-Williams-VIX-and-DEMA,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
AlphaTrend_1_2,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
均线动量混合交易系统之趋势持续性分析策略-Hybrid-EMA-Momentum-Trading-System-with-Trend-Persistence-Analysis-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrendKAMAAdaptive-Trend-Following-Strategy-Combining-AlphaTrend-and-KAMA-with-Risk-Management_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrendKAMAAdaptive-Trend-Following-Strategy-Combining-AlphaTrend-and-KAMA-with-Risk-Management_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于大量级蜡烛线与RSI背离的高级止损动态追踪策略-Advanced-Dynamic-Stop-Loss-Strategy-Based-on-Large-Candles-and-RSI-Divergence,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Mean-Reversion-and-Momentum-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Kumo-Breakout-Quantitative-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDRSI-Momentum-Breakout-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
file_9_1_1,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
72s-Adaptive-Hull-Moving-Average,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SSL-CHANNEL-STOCH-RSI_1_2,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SPY增强型空头信号策略-基于动态ATR目标优化的量化交易系统-SPY-Enhanced-Short-Signals-Strategy-Quantitative-Trading-System-with-Dynamic-ATR-Target-Optimization,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SPY-RSI-Stochastics-交叉值反转趋势策略SPY-RSI-Stochastics-Crossover-Reversal-Trend-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SPY-RSI-Stochastics-SPY-RSI-Stochastics-Crossover-Reversal-Trend-Strategy_2_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Amazing-Price-Breakout-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Amazing-Price-Breakout-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrendAlphaTrend-Dual-Tracking-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend和布林带相结合的均值回归趋势跟踪策略AlphaTrend-and-Bollinger-Bands-Combined-Mean-Reversion-Trend-Following-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend双向跟踪策略AlphaTrend-Dual-Tracking-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
AlphaTrend_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-No-Offset-Ichimoku-Cloud-with-RSI-Filter-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-MTF-ObOs_1_2,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Multi-Dimensional-Trend-Tracking-and-Quantitative-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDRSITrading-Strategy-for-Oscillating-Markets-Combining-MACD-and-RSI-Indicators_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDRSIRSI-of-MACD-Reversal-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
双均线交叉日间交易期货策略Dual-Moving-Average-Crossover-Intraday-Futures-Trading-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
v6-Optimized-ATR-Based-Trend-Strategy-v6-Fixed-Trend-Capture_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
双均线交叉开仓策略-Dual-Moving-Average-Crossover-Entry-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDRSIMomentum-Breakout-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Moving-Average-and-Bollinger-Bands-Cross-Strategy-with-Fixed-Stop-Loss-Optimization-Model_1_1_1,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
Dynamic-Moving-Average-Trend-Following-with-RSI-Confirmation-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDRSI-MACD-and-RSI-Multi-Filter-Intraday-Trading-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
双均线交叉带止盈止损的自适应量化交易策略-Adaptive-Quantitative-Trading-Strategy-with-Dual-Moving-Average-Crossover-and-Take-Profit-Stop-Loss,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
stochRSI策略-指标框架,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
多周期市场动量交叉策略-Multi-Timeframe-Market-Momentum-Crossover-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
stochRSI_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
stochRSI-_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-RSI-Axial-Moving-Average-Crossover-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-RSI-Alligator-Trend-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-Price-Reversal-RSI-Combo-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-Price-Drop-Buy-Strategy-in-Downtrend-with-Stop-Loss_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Alpha趋势跟踪止损策略Alpha-Trend-Strategy-with-Trailing-Stop-Loss,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SMK-ULTRA-TREND-SMK-ULTRA-TREND-Dual-Moving-Average-Crossover-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-RSI-Breakout-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-RSI-Bollinger-Bands-TP-SL-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-RSI-Bollinger-Bands-Short-term-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-RSI-Dual-Side-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SPY-RSI-Stochastics-SPY-RSI-Stochastics-Crossover-Reversal-Trend-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SPY-RSI-Stochastics-SPY-RSI-Stochastics-Crossover-Reversal-Trend-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SPY-ATR-SPY-Enhanced-Short-Signals-Strategy-Quantitative-Trading-System-with-Dynamic-ATR-Target-Optimization_2_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SPY-ATR-SPY-Enhanced-Short-Signals-Strategy-Quantitative-Trading-System-with-Dynamic-ATR-Target-Optimization_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SPARK动态仓位与双重指标交易策略-SPARK-Dynamic-Position-Sizing-and-Dual-Indicator-Trading-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-RSI-Bollinger-Bands-Integration-Strategy-A-Dynamic-Self-Adaptive-Multi-Indicator-Trading-System_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDRSI-MACD-and-RSI-Combined-Natural-Trading-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDRSI-MACD-and-RSI-Combined-Long-term-Trading-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Multi-Indicator-Intraday-Trend-Following-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
一个利用多种技术指标进行量化交易的策略Multiple-Indicator-Quantitative-Trading-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
v6-Optimized-ATR-Based-Trend-Strategy-v6-Fixed-Trend-Capture_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
BB-BB-Breakout-Strategy_1_1_1,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
SMC-EMA-Strategy-with-PL-Projections-SMC与EMA策略以及PL预测,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Multi-Indicator-Trend-Momentum-Enhanced-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDMACD-Trend-Balancing-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于RSI指标的Nifty交易策略Nifty-Trading-Strategy-Based-on-RSI-Indicator,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
一目均衡移动平均趋势追踪策略Ichimoku-Backtester-with-TP-SL-and-Cloud-Confirmation,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
一目均衡表与RSI组合策略Ichimoku-Cloud-and-RSI-Combination-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
一目均衡图趋势跟踪与支撑阻力策略-Ichimoku-Kinko-Hyo-Trend-Following-and-Support-Resistance-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
一目均衡移势叠加量化策略Ichimoku-Kinko-Hyo-Cloud-QQE-Quantitative-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Dynamic-Multi-Timeframe-Pivot-Trend-Breakthrough-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于RSI指标的反转交易策略An-RSI-Reversal-Trading-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SPARK-SPARK-Dynamic-Position-Sizing-and-Dual-Indicator-Trading-Strategy_2_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SPARK-SPARK-Dynamic-Position-Sizing-and-Dual-Indicator-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SPARK-SPARK-Dynamic-Position-Sizing-and-Dual-Indicator-Trading-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SMK-ULTRA-TREND-双均线交叉策略SMK-ULTRA-TREND-Dual-Moving-Average-Crossover-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SMK-ULTRA-TREND-SMK-ULTRA-TREND-Dual-Moving-Average-Crossover-Strategy_2_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-RSI-Dual-Cross-Reversal-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于RSI指标的双重超买超卖策略Dual-Overbought-Oversold-Strategy-Based-on-RSI-Indicator,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于RSI指标的双轨突破策略RSI-Dual-track-Breakthrough-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
基于RSI指标的双向交易策略RSI-based-Dual-Trading-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
三EMA叉加Stochastic-RSI策略3EMA-with-Stochastic-RSI-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
双周期移动平均线结合RSI动量和成交量的趋势跟踪策略-Dual-Period-Moving-Average-with-RSI-Momentum-and-Volume-Trend-Following-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
双周期RSI趋势动量强度策略结合金字塔式仓位管理系统-Dual-Period-RSI-Trend-Momentum-Strategy-with-Pyramiding-Position-Management-System,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
一目均衡表震荡指标交易策略Ichimoku-Cloud-Oscillator-Trading-Strategy,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
MACDMACD-Long-Reversal-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
Concise-Dynamic-Trend-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-RSI-Divergence-Trading-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-RSI-Divergence-Trading-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
RSI-RSI-Direction-Change-Strategy_1_1_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
均线双边振荡交易策略Oscillation-Trading-Strategy-Between-Moving-Averages,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
SMK-ULTRA-TREND-SMK-ULTRA-TREND-Dual-Moving-Average-Crossover-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
BB-BB-Breakout-Strategy_2_1,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
MACDMACD-Momentum-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
三EMA配合DMI和MACD的趋势跟踪策略Trend-Following-Strategy-with-3-EMAs-DMI-and-MACD,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
多周期布林带触碰趋势反转量化交易策略-Multi-Period-Bollinger-Bands-Touch-Trend-Reversal-Quantitative-Trading-Strategy,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
多周期布林带突破回归交易策略-Multi-Timeframe-Bollinger-Band-Breakout-Reversion-Strategy,1h,4.0,3.0,,62.16,55.67,,3.5,NO,INTRADAY
双向逆转重叠优选策略Dual-Reversal-Overlap-Selective-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
双向追踪止损移动平均趋势策略Dual-directional-Trailing-Stop-Moving-Average-Trend-Strategy,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDMACD-Momentum-Indicator-Backtest-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
MACDMACD-Cross-Period-Trading-Strategy_1,5m,4.0,3.0,,61.67,59.02,,3.5,NO,SCALP
